POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Stories,Alternate_Stories,New_Building_Number,Building_Constructed,Primary_Building_Use,Additional_Addresses,Public_Space_Location,Public_Space_Type,Arcade,Covered_Pedestrian_Space,Elevated_Plaza,Open_Air_Concourse,Pedestrian_Circulation_Space,Plaza,Public_Plaza,Residential_Plaza,Sidewalk_Widening,Through_Block_Arcade,Through_Block_Connection,Through_Block_Galleria,Urban_Plaza,Other_Public_Spaces,Other_Public_Spaces_List,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required_List,Hour_Of_Access_Required,Open_24_Hours,Restricted_Hours,Closing_for_Events,Amenities_Required_List,Amenities_Required,None,Artwork,Bicycle_Parking,Climate_Control,Drinking_Fountain,Elevator,Escalator,Food_Service,Lighting,Litter_Receptacles,Planting,Plaque_Sign,Programs,Restrooms,Retail_Frontage,Seating,Subway,Tables,Trees_on_Street,Trees_within_Space,Water_Feature,Other_Required,Permitted_Amenities_List,Permitted_Amenities,Open_Air_Cafe,Other_Permitted,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
M050076,Manhattan,1,05,712,FIFTH AVENUE,10019,"712 FIFTH AVENUE, New York, NY 10019",01271,0038,,West side of Fifth Avenue between West 55th and 56th Streets,1989,53,,"41/85",Completed,Commercial,,,Access Area; Exhibit Area; Pedestrian Circulation Space,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Access Area; Exhibit Area,Solomon Equities,"Kohn Pedersen Fox/Schuman Lichtenstein Claman Efron",Beyer Blinder Belle,Access Area 0.00 sf; Exhibit Area 0.00 sf; Pedestrian Circulation Space 0.00 sf,24 Hours; Restricted Hours,Access Area: Restricted Hours (Access Area (“Fifth Avenue Atrium”): accessible to the public during such hours as the ground floor retail space is open to the public); Exhibit Area: Restricted Hours (Exhibit Area (“Fifth Avenue Atrium”): accessible to the public during such hours as the ground floor retail space is open to the public); Pedestrian Circulation Space: 24 Hours (Building Entrance Recess Area),Building Entrance Recess Area,Access Area (“Fifth Avenue Atrium”): accessible to the public during such hours as the ground floor retail space is open to the public; Exhibit Area (“Fifth Avenue Atrium”): accessible to the public during such hours as the ground floor retail space is open to the public,,"Elevator; Escalator; Lighting; Other Required; Plaque/Sign","Access Area: Other Required ( Exhibit Area and Access Area may be relocated from time to time to locations at the rear of the “Fifth Avenue Atrium” and may not be used for any retail sales activities, except that the Exhibit Area may be used for sales of products related to the Lalique Windows); Exhibit Area: Escalator (elevator to unobstructed viewing paths on second through fourth floors of the Fifth Avenue Atrium); Exhibit Area: Other Required (Exhibit Area on the ground floor level of the “Fifth Avenue Atrium” to contain a first-class, educational display and informational materials, prepared by an expert architectural historian, concerning the Lalique windows; Exhibit Area and Access Area may be relocated from time to time to locations at the rear of the “Fifth Avenue Atrium” and may not be used for any retail sales activities, except that the Exhibit Area may be used for sales of products related to the Lalique Windows; no floor-mounted retail display or obstruction shall be installed on the ground floor level of the “Fifth Avenue Atrium” which shall exceed a height measured from the floor of 11 feet 6 inches in the front 27 feet of the “Fifth Avenue Atrium” or a height of 5 feet 6 inches in the remaining 10 feet 3 inches of the “Fifth Avenue Atrium,” except during the holiday season, from Thanksgiving Day through the following January 15th, in order to install a Christmas tree or comparable holiday ornamentation; portions); Pedestrian Circulation Space: Elevator (elevator to unobstructed viewing paths on second through fourth floors of the Fifth Avenue Atrium); Pedestrian Circulation Space: Lighting (minimum 15 foot candles on the inside of the landmarked Lalique windows); Pedestrian Circulation Space: Plaque/Sign",,,,,,elevator to unobstructed viewing paths on second through fourth floors of the Fifth Avenue Atrium,elevator to unobstructed viewing paths on second through fourth floors of the Fifth Avenue Atrium,,minimum 15 foot candles on the inside of the landmarked Lalique windows,,,Yes,,,,,,,,,," Exhibit Area and Access Area may be relocated from time to time to locations at the rear of the “Fifth Avenue Atrium” and may not be used for any retail sales activities, except that the Exhibit Area may be used for sales of products related to the Lalique Windows; Exhibit Area on the ground floor level of the “Fifth Avenue Atrium” to contain a first-class, educational display and informational materials, prepared by an expert architectural historian, concerning the Lalique windows; Exhibit Area and Access Area may be relocated from time to time to locations at the rear of the “Fifth Avenue Atrium” and may not be used for any retail sales activities, except that the Exhibit Area may be used for sales of products related to the Lalique Windows; no floor-mounted retail display or obstruction shall be installed on the ground floor level of the “Fifth Avenue Atrium” which shall exceed a height measured from the floor of 11 feet 6 inches in the front 27 feet of the “Fifth Avenue Atrium” or a height of 5 feet 6 inches in the remaining 10 feet 3 inches of the “Fifth Avenue Atrium,” except during the holiday season, from Thanksgiving Day through the following January 15th, in order to install a Christmas tree or comparable holiday ornamentation; portions",Other Permitted,"Exhibit Area: Other Permitted (4 tables and 8 chairs for a small café on the earstern viewing portion of the third floor of the ""Fifth Avenue Atrium,"" between the railing and the Lalique window; the maximum height of the chairs in the café or the third floor shall not be greater than 40 inches at the chair back, and the distance to be maintained between the area of the café tables and chairs along guard rail adjacent to the first floor Atrium and the guard rail adjacent to the Lalique windows shall be four feet so as to preserve the possibility of viewing such windows by persons who are not café customers)",,"4 tables and 8 chairs for a small café on the earstern viewing portion of the third floor of the ""Fifth Avenue Atrium,"" between the railing and the Lalique window; the maximum height of the chairs in the café or the third floor shall not be greater than 40 inches at the chair back, and the distance to be maintained between the area of the café tables and chairs along guard rail adjacent to the first floor Atrium and the guard rail adjacent to the Lalique windows shall be four feet so as to preserve the possibility of viewing such windows by persons who are not café customers","Full/Partial",40.762294,-73.975103 ,0991147,0217002
M050077,Manhattan,1,05,899,SEVENTH AVENUE,10019,"899 SEVENTH AVENUE, New York, NY 10019",     ,    ,Carnegie Hall Tower,North side of West 56th Street and south side of West 57th Street between Sixth and Seventh Avenues,1988,62,,"1509/85",Completed,Commercial,,,Through Block Connection,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Rockrose Development Corp.,Cesar Pelli Associates,Cesar Pelli Associates,Through Block Connection 3563.00 sf,Restricted Hours,"Through Block Connection: Restricted Hours (8:00 am to 7:00 pm, on days the building is open for business)",,"8:00 am to 7:00 pm, on days the building is open for business",,"Climate Control; Lighting; Plaque/Sign","Through Block Connection: Climate Control (shall be adequately ventilated and maintained at a temperature between 60 and 80 degrees fahrenheit); Through Block Connection: Lighting (minimum 8 foot candles when open and minimum 5 fc at all other times); Through Block Connection: Plaque/Sign (signs at West 56th Street entrance and West 57th Street entrance lit with minimum light level of 8 foot candles)",,,,shall be adequately ventilated and maintained at a temperature between 60 and 80 degrees fahrenheit,,,,,minimum 8 foot candles when open and minimum 5 fc at all other times,,,signs at West 56th Street entrance and West 57th Street entrance lit with minimum light level of 8 foot candles,,,,,,,,,,,,,,,"Full/Partial",40.765619,-73.979954 ,0989803,0218213
M050078,Manhattan,1,05,611,FIFTH AVENUE,10022,"611 FIFTH AVENUE, New York, NY 10022",01285,7501,Saks Tower,East side of Fifth Avenue between East 49th and 50th Streets,1990,39,,,Completed,Commercial,,,Building Entrance Recess Area; Special Permit Pedestrian Circulation Sp,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Building Entrance Recess Area; Special Permit Pedestrian Circulation Sp,"Saks Fifth Avenue/Swiss Bank Corp.",Lee Harris Pomeroy,Lee Harris Pomeroy,Building Entrance Recess Area 174.00 sf; Special Permit Pedestrian Circulation Sp 930.00 sf,24 Hours,Building Entrance Recess Area: 24 Hours; Special Permit Pedestrian Circulation Sp: 24 Hours,Yes,,,"Lighting; Other Required; Planting; Plaque/Sign; Seating","Building Entrance Recess Area: Plaque/Sign (at both entrances to the through block public passage); Special Permit Pedestrian Circulation Sp: Lighting (minimum 5 foot candles); Special Permit Pedestrian Circulation Sp: Other Required (through block public passage connecting East 49th and East 50th Streets, open to the public during the Saks Fifth Avenue department store hours); Special Permit Pedestrian Circulation Sp: Planting; Special Permit Pedestrian Circulation Sp: Plaque/Sign (at both entrances to the through block public passage); Special Permit Pedestrian Circulation Sp: Seating",,,,,,,,,minimum 5 foot candles,,Yes,at both entrances to the through block public passage; at both entrances to the through block public passage,,,,Yes,,,,,,"through block public passage connecting East 49th and East 50th Streets, open to the public during the Saks Fifth Avenue department store hours",,,,,"Full/Partial",40.757966,-73.976816 ,0990673,0215425
M050079,Manhattan,1,05,135,EAST 57 STREET,10022,"135 EAST 57 STREET, New York, NY 10022",01312,0015,,Northwest corner of East 57th Street and Lexington Avenue,1987,32,,"61/82",Completed,Commercial,,,Open Park Space; Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Open Park Space,Madison Lexington Venture,Kohn Pedersen Fox,"Kohn Pedersen Fox; Thomas Balsley Associates (for Open Park Space, west of building)",Open Park Space 2500.00 sf; Plaza 4820.00 sf,24 Hours; Restricted Hours,Open Park Space: Restricted Hours (8:00 am to sunset; 24 Hours: Open Park Space located at northwest corner of East 57th Street and Lexington Avenue); Plaza: 24 Hours,Yes,8:00 am to sunset; 24 Hours: Open Park Space located at northwest corner of East 57th Street and Lexington Avenue,,"Food Service; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature","Open Park Space: Food Service (kiosk open between April 15 and October 15, from 8:00 am to 5:00 pm); Open Park Space: Lighting (8 foot candles; Plaza: 8 foot candles); Open Park Space: Planting (96 sf); Open Park Space: Plaque/Sign; Open Park Space: Seating (48 linear feet of fixed benches, 14 movable chairs); Open Park Space: Tables (2); Open Park Space: Trees within Space (12); Open Park Space: Water Feature (fountain wall and water basin); Plaza: Lighting (8 foot candles); Plaza: Litter Receptacles; Plaza: Other Required (tempietto); Plaza: Seating (93 linear feet of fixed seating); Plaza: Water Feature (fountains)",,,,,,,,"kiosk open between April 15 and October 15, from 8:00 am to 5:00 pm",8 foot candles; Plaza: 8 foot candles; 8 foot candles,Yes,96 sf,Yes,,,,"48 linear feet of fixed benches, 14 movable chairs; 93 linear feet of fixed seating",,2,,12,fountain wall and water basin; fountains,tempietto,,,,,"Full/Partial",40.761349,-73.969400 ,0992727,0216658
M050081,Manhattan,1,05,235,WEST 48 STREET,10036,"235 WEST 48 STREET, New York, NY 10036",01020,0005,Ritz,North side of West 48th Street between Broadway and Eighth Avenue,1989,40,,"53/87",Completed,Residential,,,Urban Plaza,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Jason Carter,Schuman Lichtenstein Claman Efron,Schuman Lichtenstein Claman Efron; Thomas Balsley Associates (for alterations circa 2000 and 2009),Urban Plaza 6690.42 sf,Restricted Hours,"Urban Plaza: Restricted Hours (May 1 through September 30, 7:00 am to 11:30 pm, October 1 through April 30, 7:00 am to 7:00 pm; also open whenever the open air café at the rear of the Urban Plaza is in operation)",,"May 1 through September 30, 7:00 am to 11:30 pm, October 1 through April 30, 7:00 am to 7:00 pm; also open whenever the open air café at the rear of the Urban Plaza is in operation",,"Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature","Urban Plaza: Artwork (Firefighters Memorial); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (4 cubic feet); Urban Plaza: Planting (960 sf); Urban Plaza: Plaque/Sign (2 entry plaques, 1 informational plaque, 1 hours of access plaque); Urban Plaza: Retail Frontage; Urban Plaza: Seating (283 linear feet including 257 lf with backs); Urban Plaza: Tables (8); Urban Plaza: Trees on Street (17); Urban Plaza: Trees within Space (12); Urban Plaza: Water Feature (Firefighters Memorial with water)",,Firefighters Memorial,,,,,,,Yes,4 cubic feet,960 sf,"2 entry plaques, 1 informational plaque, 1 hours of access plaque",,,Yes,283 linear feet including 257 lf with backs,,8,17,12,Firefighters Memorial with water,,,,,,"Full/Partial",40.760894,-73.986092 ,0988103,0216491
M050082,Manhattan,1,05,420,FIFTH AVENUE,10018,"420 FIFTH AVENUE, New York, NY 10018",00839,7501,,Full blockfront on west side of Fifth Avenue between West 37th and 38th Streets,1989,28,,"44/88",Completed,"Co-op/Condo; Commercial",,,Urban Plaza,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Hammerson Property Corp.,Brennan Beer Gorman,M. Paul Friedberg & Partners,Urban Plaza 3765.00 sf,24 Hours,Urban Plaza: 24 Hours,Yes,,,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (1.88 cubic feet required, 15.74 cf provided); Urban Plaza: Planting (665 sf); Urban Plaza: Plaque/Sign (2); Urban Plaza: Retail Frontage (60 linear feet); Urban Plaza: Seating (126 linear feet including 70.87 lf with backs required, 150.25 lf including 78.67 lf with backs and 21 movable chairs provided); Urban Plaza: Trees on Street (14); Urban Plaza: Trees within Space (7 required, 9 provided)",,,,,,,,,Yes,"1.88 cubic feet required, 15.74 cf provided",665 sf,2,,,60 linear feet,"126 linear feet including 70.87 lf with backs required, 150.25 lf including 78.67 lf with backs and 21 movable chairs provided",,,14,"7 required, 9 provided",,,,,,,"Full/Partial",40.750812,-73.983336 ,0988867,0212818
M050083,Manhattan,1,05,1325,SIXTH AVENUE,10019,"1325 SIXTH AVENUE, New York, NY 10019",01006,0013,1325 Avenue of the Americas,North side of  West 53rd Street and south side of West 54th Street between Sixth and Seventh Avenues,1989,34,,"58/87",Completed,Commercial,,,Through Block Galleria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,"Minskoff Equities/A. Taubman",Kohn Pedersen Fox,Kohn Pedersen Fox,Through Block Galleria 6781.49 sf,Restricted Hours,"Through Block Galleria: Restricted Hours (8:00 am to 7:00 pm, closed January 1, July 4, and December 25)",,"8:00 am to 7:00 pm, closed January 1, July 4, and December 25",,"Lighting; Litter Receptacles; Other Required; Plaque/Sign; Retail Frontage; Seating; Tables","Through Block Galleria: Lighting; Through Block Galleria: Litter Receptacles; Through Block Galleria: Other Required (skylight over 3,439.68 sf of Through Block Galleria); Through Block Galleria: Plaque/Sign (4); Through Block Galleria: Retail Frontage; Through Block Galleria: Seating (189.07 linear feet including 94.54 lf fixed seating required, 209.3 lf including 14 benches totaling 125 lf and 56 movable chairs totaling 84 lf provided); Through Block Galleria: Tables (14)",,,,,,,,,Yes,Yes,,4,,,Yes,"189.07 linear feet including 94.54 lf fixed seating required, 209.3 lf including 14 benches totaling 125 lf and 56 movable chairs totaling 84 lf provided",,14,,,,"skylight over 3,439.68 sf of Through Block Galleria",,,,,"Full/Partial",40.762880,-73.980702 ,0989596,0217215
M050084,Manhattan,1,05,1755,BROADWAY,10019,"1755 BROADWAY, New York, NY 10019",01028,7501,Symphony House,Full blockfront on West 56th Street between Broadway and Eighth Avenues,1987,45,,"83/84",Completed,Commercial; Residential,,,Urban Plaza,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Jack Resnick,Emery Roth & Sons,Thomas Balsley Associates,Urban Plaza 4953.89 sf,Restricted Hours,"Urban Plaza: Restricted Hours (May 1 through September 30, 7:00 am to 9:30 pm, October 1 through April 30, 7:00 am to 7:30 pm; also open whenever the open air café is in operation)",,"May 1 through September 30, 7:00 am to 9:30 pm, October 1 through April 30, 7:00 am to 7:30 pm; also open whenever the open air café is in operation",,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (15 cubic feet); Urban Plaza: Planting (1206 sf); Urban Plaza: Plaque/Sign (1 entry plaque and 1 information plaque required, 2 entry plaques and 1 information plaque provided); Urban Plaza: Retail Frontage; Urban Plaza: Seating (165.5 linear feet including 62 lf with backs required, 168.5 lf including 142 lf with backs provided); Urban Plaza: Trees on Street (8 on West 56th Street); Urban Plaza: Trees within Space (8 required, 10 provided)",,,,,,,,,Yes,15 cubic feet,1206 sf,"1 entry plaque and 1 information plaque required, 2 entry plaques and 1 information plaque provided",,,Yes,"165.5 linear feet including 62 lf with backs required, 168.5 lf including 142 lf with backs provided",,,8 on West 56th Street,"8 required, 10 provided",,,Open Air Cafe,Urban Plaza: Open Air Cafe (340 sf in the middle of the east side of the Urban Plaza),340 sf in the middle of the east side of the Urban Plaza,,"Full/Partial",40.765974,-73.982553 ,0989083,0218342
M050085,Manhattan,1,05,146,WEST 57 STREET,10019,"146 WEST 57 STREET, New York, NY 10019",01009,7501,Metropolitan Tower,South side of West 57th Street between Sixth and Seventh Avenues,1986,78,,"38/83",Completed,"Co-op/Condo; Residential",,,Through Block Connection; Urban Plaza,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,,Harry Macklowe,Schuman Lichtenstein Claman Efron,Schuman Lichtenstein Claman Efron,Through Block Connection 0.00 sf; Urban Plaza 4375.00 sf,24 Hours; Restricted Hours,"Through Block Connection: Restricted Hours (8:00 am to 7:00 pm, on days the building is open for business); Urban Plaza: 24 Hours",Yes,"8:00 am to 7:00 pm, on days the building is open for business",,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","Through Block Connection: Lighting; Through Block Connection: Planting; Through Block Connection: Plaque/Sign (2); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (2.2 cubic feet required, 3 cf provided); Urban Plaza: Planting; Urban Plaza: Plaque/Sign (1); Urban Plaza: Retail Frontage (29 linear feet); Urban Plaza: Seating (110 linear feet including 6.33 lf with backs required, 196 lf including 20 lf with backs provided); Urban Plaza: Trees on Street (17); Urban Plaza: Trees within Space (4)",,,,,,,,,Yes,"2.2 cubic feet required, 3 cf provided",Yes,2; 1,,,29 linear feet,"110 linear feet including 6.33 lf with backs required, 196 lf including 20 lf with backs provided",,,17,4,,,,,,,"Full/Partial",40.764719,-73.979290 ,0989987,0217885
M050086,Manhattan,1,05,65,EAST 55 STREET,10022,"65 EAST 55 STREET, New York, NY 10022",01291,0028,Park Avenue Tower,North side of East 55th Street between Park and Madison Avenues,1985,38,,"12/82",Completed,Commercial,,North side of East 55th Street between Park and Madison Avenues,Urban Plaza,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Park Tower Realty,"Murphy/Jahn","Murphy/Jahn, MdeAs (2016 redesign)",Urban Plaza 6437.17 sf,24 Hours,Urban Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","Urban Plaza: Artwork (1 Artwork); Urban Plaza: Bicycle Parking (1 bike rack with 2 spaces on sidewalk); Urban Plaza: Drinking Fountain (1); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (4); Urban Plaza: Planting (763 SF); Urban Plaza: Plaque/Sign (2 entry plaques, 1 information plaque); Urban Plaza: Retail Frontage; Urban Plaza: Seating (395 LF provided including 88 LF of movable.); Urban Plaza: Trees on Street (8); Urban Plaza: Trees within Space (10)",,1 Artwork,1 bike rack with 2 spaces on sidewalk,,1,,,,Yes,4,763 SF,"2 entry plaques, 1 information plaque",,,Yes,395 LF provided including 88 LF of movable.,,,8,10,,,,,,,"Full/Partial",40.760886,-73.972133 ,0991970,0216489
M050087,Manhattan,1,05,383,MADISON AVENUE,10179,"383 MADISON AVENUE, New York, NY 10179",01282,0021,Bear Stearns,Full block bounded by Madison and Vanderbilt Avenues and East 46th and 47th Streets,1999,45,,,Completed,Commercial,,,Building Entrance Recess Area; New North End Access to 47th Street Cro; Off-Street Rail Mass Transit Access; Through Block Connection,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Building Entrance Recess Area; New North End Access to 47th Street Cro; Off-Street Rail Mass Transit Access,Sterling Equities (Fred Wilpon),"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",Building Entrance Recess Area 0.00 sf; New North End Access to 47th Street Cro 707.00 sf; Off-Street Rail Mass Transit Access 5031.00 sf; Through Block Connection 5706.00 sf,24 Hours; Restricted Hours,"Building Entrance Recess Area: 24 Hours; Off-Street Rail Mass Transit Access: Restricted Hours (Daily, 5:30 am to 11:30 pm, or as otherwise specified by the MTA)",Yes,"Daily, 5:30 am to 11:30 pm, or as otherwise specified by the MTA",,"Artwork; Escalator; Lighting; Other Required; Planting; Plaque/Sign","New North End Access to 47th Street Cro: Escalator (2 escalators connecting Off-Street Rail Mass Transit Access Improvement to New North End Access to 47th Street Cross Passageway); New North End Access to 47th Street Cro: Other Required (stairway connecting Off-Street Rail Mass Transit Access Improvement and New North End Access to 47th Street Cross Passageway); Off-Street Rail Mass Transit Access: Artwork (restored historic mosaic displayed above escalators to New North End Access to 47th Street Cross Passageway); Off-Street Rail Mass Transit Access: Escalator (2 escalators connecting Off-Street Rail Mass Transit Access Improvement to New North End Access to 47th Street Cross Passageway); Off-Street Rail Mass Transit Access: Other Required (stairway connecting Off-Street Rail Mass Transit Access Improvement and New North End Access to 47th Street Cross Passageway); Off-Street Rail Mass Transit Access: Planting (25 decorative planters with seasonal landscaping displays); Through Block Connection: Lighting (lobby lighting designed to cast light onto adjacent sidewalks); Through Block Connection: Planting (25 decorative planters with seasonal landscaping displays); Through Block Connection: Plaque/Sign (8 at street level)",,restored historic mosaic displayed above escalators to New North End Access to 47th Street Cross Passageway,,,,,2 escalators connecting Off-Street Rail Mass Transit Access Improvement to New North End Access to 47th Street Cross Passageway; 2 escalators connecting Off-Street Rail Mass Transit Access Improvement to New North End Access to 47th Street Cross Passageway,,lobby lighting designed to cast light onto adjacent sidewalks,,25 decorative planters with seasonal landscaping displays; 25 decorative planters with seasonal landscaping displays,8 at street level,,,,,,,,,,stairway connecting Off-Street Rail Mass Transit Access Improvement and New North End Access to 47th Street Cross Passageway; stairway connecting Off-Street Rail Mass Transit Access Improvement and New North End Access to 47th Street Cross Passageway,,,,,"Full/Partial",40.755469,-73.976726 ,0990698,0214515
